대여일시,대여건수
2019-12-01,"9,680"
2019-12-02,"34,397"
2019-12-03,"33,580"
2019-12-04,"38,576"
2019-12-05,"29,277"
2019-12-06,"26,723"
2019-12-07,"23,013"
2019-12-08,"22,597"
2019-12-09,"34,140"
2019-12-10,"33,275"
2019-12-11,"34,049"
2019-12-12,"33,704"
2019-12-13,"34,258"
2019-12-14,"27,424"
2019-12-15,"29,692"
2019-12-16,"41,750"
2019-12-17,"25,644"
2019-12-18,"34,899"
2019-12-19,"32,972"
2019-12-20,"32,521"
2019-12-21,"20,302"
2019-12-22,"24,430"
2019-12-23,"29,028"
2019-12-24,"33,334"
2019-12-25,"22,428"
2019-12-26,"25,007"
2019-12-27,"29,243"
2019-12-28,"26,046"
2019-12-29,"18,701"
2019-12-30,"22,952"
2019-12-31,"18,436"
2020-01-01,"16,236"
2020-01-02,"28,890"
2020-01-03,"30,809"
2020-01-04,"25,709"
2020-01-05,"23,206"
2020-01-06,"15,381"
2020-01-07,"1,920"
2020-01-08,"21,522"
2020-01-09,"28,711"
2020-01-10,"29,395"
2020-01-11,"23,246"
2020-01-12,"19,842"
2020-01-13,"26,786"
2020-01-14,"28,435"
2020-01-15,"28,391"
2020-01-16,"29,026"
2020-01-17,"29,626"
2020-01-18,"24,635"
2020-01-19,"17,682"
2020-01-20,"28,611"
2020-01-21,"30,618"
2020-01-22,"33,011"
2020-01-23,"34,466"
2020-01-24,"19,230"
2020-01-25,"15,233"
2020-01-26,"22,685"
2020-01-27,"16,836"
2020-01-28,"32,098"
2020-01-29,"37,990"
2020-01-30,"38,079"
2020-01-31,"35,857"
2020-02-01,"27,151"
2020-02-02,"22,384"
2020-02-03,"29,681"
2020-02-04,"23,006"
2020-02-05,"20,311"
2020-02-06,"22,401"
2020-02-07,"26,540"
2020-02-08,"22,046"
2020-02-09,"21,099"
2020-02-10,"33,956"
2020-02-11,"40,563"
2020-02-12,"10,698"
2020-02-13,"34,375"
2020-02-14,"41,229"
2020-02-15,"29,837"
2020-02-16,"6,798"
2020-02-17,"13,777"
2020-02-18,"19,773"
2020-02-19,"32,721"
2020-02-20,"36,027"
2020-02-21,"29,779"
2020-02-22,"18,290"
2020-02-23,"25,159"
2020-02-24,"36,094"
2020-02-25,"15,939"
2020-02-26,"35,773"
2020-02-27,"38,526"
2020-02-28,"12,644"
2020-02-29,"35,697"
2020-03-01,"24,431"
2020-03-02,"36,641"
2020-03-03,"39,447"
2020-03-04,"31,269"
2020-03-05,"35,851"
2020-03-06,"40,897"
2020-03-07,"42,379"
2020-03-08,"54,245"
2020-03-09,"53,020"
2020-03-10,"10,606"
2020-03-11,"45,245"
2020-03-12,"50,094"
2020-03-13,"43,554"
2020-03-14,"42,569"
2020-03-15,"33,215"
2020-03-16,"42,441"
2020-03-17,"47,241"
2020-03-18,"62,119"
2020-03-19,"24,256"
2020-03-20,"53,839"
2020-03-21,"63,759"
2020-03-22,"64,436"
2020-03-23,"63,686"
2020-03-24,"69,998"
2020-03-25,"73,460"
2020-03-26,"47,633"
2020-03-27,"60,183"
2020-03-28,"64,677"
2020-03-29,"68,430"
2020-03-30,"69,293"
2020-03-31,"74,621"
2020-04-01,"70,258"
2020-04-02,"72,129"
2020-04-03,"74,856"
2020-04-04,"66,405"
2020-04-05,"64,111"
2020-04-06,"68,414"
2020-04-07,"73,685"
2020-04-08,"72,863"
2020-04-09,"73,382"
2020-04-10,"75,021"
2020-04-11,"75,637"
2020-04-12,"63,335"
2020-04-13,"77,604"
2020-04-14,"83,798"
2020-04-15,"89,789"
2020-04-16,"83,970"
2020-04-17,"35,656"
2020-04-18,"92,829"
2020-04-19,"29,375"
2020-04-20,"56,129"
2020-04-21,"58,746"
2020-04-22,"51,337"
2020-04-23,"64,765"
2020-04-24,"72,883"
2020-04-25,"78,419"
2020-04-26,"82,600"
2020-04-27,"77,149"
2020-04-28,"86,541"
2020-04-29,"88,827"
2020-04-30,"96,877"
2020-05-01,"93,249"
2020-05-02,"88,508"
2020-05-03,"89,287"
2020-05-04,"93,579"
2020-05-05,"88,219"
2020-05-06,"88,561"
2020-05-07,"90,645"
2020-05-08,"63,474"
2020-05-09,"7,600"
2020-05-10,"65,932"
2020-05-11,"76,042"
2020-05-12,"78,200"
2020-05-13,"89,183"
2020-05-14,"89,149"
2020-05-15,"13,782"
2020-05-16,"64,549"
2020-05-17,"89,449"
2020-05-18,"36,761"
2020-05-19,"55,556"
2020-05-20,"88,257"
2020-05-21,"93,930"
2020-05-22,"89,317"
2020-05-23,"101,256"
2020-05-24,"80,357"
2020-05-25,"92,531"
2020-05-26,"68,498"
2020-05-27,"101,949"
2020-05-28,"99,792"
2020-05-29,"103,999"
2020-05-30,"105,172"
2020-05-31,"93,547"
