대여일시,대여건수
2020-06-01," 99,930 "
2020-06-02," 79,833 "
2020-06-03," 103,887 "
2020-06-04," 97,656 "
2020-06-05," 107,343 "
2020-06-06," 105,033 "
2020-06-07," 101,848 "
2020-06-08," 103,582 "
2020-06-09," 102,084 "
2020-06-10," 58,133 "
2020-06-11," 100,031 "
2020-06-12," 109,210 "
2020-06-13," 90,396 "
2020-06-14," 94,406 "
2020-06-15," 108,320 "
2020-06-16," 106,519 "
2020-06-17," 107,723 "
2020-06-18," 110,377 "
2020-06-19," 109,124 "
2020-06-20," 102,333 "
2020-06-21," 95,453 "
2020-06-22," 98,394 "
2020-06-23," 103,214 "
2020-06-24," 19,756 "
2020-06-25," 46,415 "
2020-06-26," 96,150 "
2020-06-27," 107,001 "
2020-06-28," 98,568 "
2020-06-29," 70,053 "
2020-06-30," 38,086 "
