지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
108,서울,2018-04-19,14,,5.1,22.36,0
108,서울,2018-04-20,18.4,,3.6,22.68,.5
108,서울,2018-04-21,18.7,,4.6,26.14,3.4
108,서울,2018-04-22,15.5,15.5,2.9,5.09,9.5
108,서울,2018-04-23,9.3,59,3,2.59,10
108,서울,2018-04-24,12.1,3,2.8,10.14,8
108,서울,2018-04-25,14.6,,4.4,24.97,.8
108,서울,2018-04-26,14.9,,5.1,21.87,3.9
108,서울,2018-04-27,15.7,,3.8,22.9,.1
108,서울,2018-04-28,15.4,,4.8,26.04,0
108,서울,2018-04-29,16.2,,4.3,24.5,2.4
108,서울,2018-04-30,19.2,,3.6,20.74,5.5
108,서울,2018-05-01,20.4,0,4,12.42,8.5
108,서울,2018-05-02,15.1,12,5.2,2.47,9.9
108,서울,2018-05-03,11.2,1,5.3,12.18,3.6
108,서울,2018-05-04,14.1,,5.9,27.26,1.4
108,서울,2018-05-05,18.3,,4.8,22.26,6
108,서울,2018-05-06,16.6,22,3.9,9.31,9.3
108,서울,2018-05-07,19.2,,3.7,17.7,6
108,서울,2018-05-08,17.5,,2.7,23.25,3
108,서울,2018-05-09,15.7,,3.6,26.77,.1
108,서울,2018-05-10,15.4,,5.4,26.53,3.1
108,서울,2018-05-11,16.1,,3.5,18.7,9.5
108,서울,2018-05-12,14.2,32,2.9,1.32,10
108,서울,2018-05-13,15.8,.5,3.9,16.37,5.3
108,서울,2018-05-14,18.2,,3.4,19.19,6.6
108,서울,2018-05-15,23.2,0,3.4,21.18,8.5
108,서울,2018-05-16,22.3,45,6.1,1.6,10
108,서울,2018-05-17,20.9,83,8,3.96,10
108,서울,2018-05-18,16.3,6.5,2.7,5.64,8.3
108,서울,2018-05-19,17.6,,2.9,29.13,0
108,서울,2018-05-20,17,,2.8,14.42,4.6
108,서울,2018-05-21,17.8,,3.5,24.59,3.9
108,서울,2018-05-22,18.1,12.5,3.1,10.87,9
108,서울,2018-05-23,17.3,6.5,5,29.2,1.4
108,서울,2018-05-24,18.3,,5.4,27.02,.5
108,서울,2018-05-25,19.7,,4.5,25.48,3.4
108,서울,2018-05-26,21.8,,4,26.86,1
108,서울,2018-05-27,20.3,,4.1,17.12,7.3
108,서울,2018-05-28,22.3,,4.3,26.49,3.8
108,서울,2018-05-29,21.4,1,4.4,13.34,9.4
108,서울,2018-05-30,20.2,0,4.4,21.67,4.6
108,서울,2018-05-31,20.9,,3.6,26.94,.9
108,서울,2018-06-01,23.8,,4.3,27.94,0
108,서울,2018-06-02,23.4,,4.5,28.49,1.4
108,서울,2018-06-03,24,,4.2,27.18,4
108,서울,2018-06-04,22.6,,4.4,21.13,7.9
108,서울,2018-06-05,23.7,,4,24.35,1.4
108,서울,2018-06-06,23,,4,26.6,1
108,서울,2018-06-07,22.2,,4.1,24.04,4.5
108,서울,2018-06-08,21.9,,3.7,18.52,5.5
108,서울,2018-06-09,23.7,.5,3.5,20.24,6.6
108,서울,2018-06-10,21.3,.5,2.9,12.82,9.5
108,서울,2018-06-11,20.2,5,4.3,11.27,8.5
108,서울,2018-06-12,21.3,0,4.7,23.45,4.5
108,서울,2018-06-13,22,0,5.1,15.75,7.4
108,서울,2018-06-14,21.6,29,3.7,10.34,9.5
108,서울,2018-06-15,21.7,16.5,2.7,23.64,6.1
108,서울,2018-06-16,22.5,,2.8,28.06,.8
108,서울,2018-06-17,22.8,,3.9,14.78,7.8
108,서울,2018-06-18,24.8,,4,26.17,3.6
108,서울,2018-06-19,22.4,,3.6,17.65,8.1
108,서울,2018-06-20,22.7,,4.2,24.52,5.4
108,서울,2018-06-21,23.7,,4.4,28.21,3
108,서울,2018-06-22,25,,4.3,27.4,5.1
108,서울,2018-06-23,24.5,,4.4,22.19,8
108,서울,2018-06-24,25.2,,3.7,25.7,4
108,서울,2018-06-25,27.1,,3.2,20.44,7.9
108,서울,2018-06-26,22.3,71.5,5.7,1.29,10
108,서울,2018-06-27,22.3,1,4.5,13.56,8.8
108,서울,2018-06-28,23.3,26.5,4.3,9.31,9.5
108,서울,2018-06-29,24.7,6.5,3.2,18.79,7.3
108,서울,2018-06-30,24.4,14.5,5.1,8.76,9.1
108,서울,2018-07-01,21.9,83.5,2.3,2.09,9.9
108,서울,2018-07-02,22.6,59.5,2.9,4.73,9.6
108,서울,2018-07-03,27.4,.1,2.6,22.88,6
108,서울,2018-07-04,27.3,,3.9,22.43,7.1
108,서울,2018-07-05,25.3,.5,3,10.88,8.6
108,서울,2018-07-06,23.9,,3.4,15.83,8.5
108,서울,2018-07-07,23.7,,2.3,27.32,3.6
108,서울,2018-07-08,23.3,,2.8,23.98,7
108,서울,2018-07-09,20.8,14,1.8,4,9.9
108,서울,2018-07-10,23.7,16.5,1.6,5.92,9.8
108,서울,2018-07-11,26.8,3,3.9,8.74,9.6
108,서울,2018-07-12,26.6,1,3.6,9.92,7.5
108,서울,2018-07-13,27.3,,3.4,15.6,6.4
108,서울,2018-07-14,27.9,0,4.2,21.51,5
108,서울,2018-07-15,28.3,,3.7,22.91,2.6
108,서울,2018-07-16,28.7,,3.6,26.67,.4
108,서울,2018-07-17,28.1,,4.1,25.57,1.3
108,서울,2018-07-18,28.2,,4.1,25.14,.8
108,서울,2018-07-19,28.7,,3.2,27.8,.1
108,서울,2018-07-20,29.5,,3.3,25.73,.4
108,서울,2018-07-21,30.6,,3.6,26.62,.3
108,서울,2018-07-22,31.8,,3.7,25.51,3.5
108,서울,2018-07-23,31.7,,4,18.94,7.9
108,서울,2018-07-24,31.4,,4,18.42,4.4
108,서울,2018-07-25,30.1,,3.8,14.36,6.3
108,서울,2018-07-26,30.1,,3.4,12.21,5.8
108,서울,2018-07-27,30.9,,3.7,19.29,2.3
108,서울,2018-07-28,29.5,7.5,3.6,9.59,5.5
108,서울,2018-07-29,31.3,,2.9,22.33,2.4
108,서울,2018-07-30,31.7,,2.4,19.68,3.1
108,서울,2018-07-31,32.6,,3.6,24.5,2.8
108,서울,2018-08-01,33.6,,4,25.69,.8
108,서울,2018-08-02,33.7,,3.2,18.58,4
108,서울,2018-08-03,33.1,,4.2,21.09,1
108,서울,2018-08-04,31.1,,4.6,20.45,3.4
108,서울,2018-08-05,30,2,4.9,20.62,6.5
108,서울,2018-08-06,30.5,6.5,4.4,17.86,7.6
108,서울,2018-08-07,30.5,,3.7,15.62,3.6
108,서울,2018-08-08,31,,4.6,20.59,3
108,서울,2018-08-09,28.8,2,4.2,11.11,7.3
108,서울,2018-08-10,30.7,,3.6,21.85,3.5
108,서울,2018-08-11,31,,3.3,21.37,2.9
108,서울,2018-08-12,30.6,5,3.7,18.23,6.5
108,서울,2018-08-13,30.5,1,3.2,12.29,7.3
108,서울,2018-08-14,31.7,,4,18.37,6.9
